,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.06352970600128174,0.0024456662990466355,0.006383275985717774,0.0006617969751436499,0.6,0.3,0.1,2,100,0.5,"{'colsample_bylevel': 0.6, 'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.5}",0.8571428571428571,0.8571428571428571,0.873015873015873,0.8709677419354839,0.8225806451612904,0.8387096774193549,0.8548387096774194,0.8225806451612904,0.7096774193548387,0.8387096774193549,0.8345366103430619,0.044891733971647516,215
1,0.06572465896606446,0.0033512416414468553,0.006881928443908692,0.0002990509138176225,0.6,0.3,0.1,2,100,0.6,"{'colsample_bylevel': 0.6, 'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.6}",0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8548387096774194,0.8225806451612904,0.8548387096774194,0.8548387096774194,0.8225806451612904,0.6935483870967742,0.8548387096774194,0.8329493087557603,0.04829099519616285,320
2,0.06223585605621338,0.0011960758259825608,0.006779956817626953,0.00039811537840289365,0.6,0.3,0.1,2,100,0.7,"{'colsample_bylevel': 0.6, 'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.7}",0.8571428571428571,0.8571428571428571,0.873015873015873,0.8870967741935484,0.8387096774193549,0.8548387096774194,0.8548387096774194,0.8387096774193549,0.7096774193548387,0.8548387096774194,0.8426011264720943,0.04634233197482824,17
3,0.06133546829223633,0.0017978179373541237,0.006582856178283691,0.0004888602155888775,0.6,0.3,0.1,2,100,0.8,"{'colsample_bylevel': 0.6, 'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.8}",0.8412698412698413,0.8571428571428571,0.873015873015873,0.8709677419354839,0.8225806451612904,0.8709677419354839,0.8387096774193549,0.8225806451612904,0.6935483870967742,0.8548387096774194,0.8345622119815669,0.05028383400249572,208
4,0.06093683242797852,0.0006980352546691454,0.006482887268066406,0.0006687460504223979,0.6,0.3,0.1,2,100,0.9,"{'colsample_bylevel': 0.6, 'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.9}",0.8571428571428571,0.8571428571428571,0.873015873015873,0.8709677419354839,0.8225806451612904,0.8870967741935484,0.8225806451612904,0.8064516129032258,0.6774193548387096,0.8548387096774194,0.8329237071172555,0.05721816717807289,327
5,0.08921222686767578,0.0009064722399657147,0.006383180618286133,0.0004881300496528535,0.6,0.3,0.1,2,150,0.5,"{'colsample_bylevel': 0.6, 'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 150, 'subsample': 0.5}",0.8412698412698413,0.8571428571428571,0.873015873015873,0.8870967741935484,0.8064516129032258,0.8548387096774194,0.8548387096774194,0.8387096774193549,0.7258064516129032,0.8709677419354839,0.8410138248847925,0.043772213791510056,31
6,0.08876292705535889,0.0012613701794483797,0.0065822601318359375,0.000488666328097473,0.6,0.3,0.1,2,150,0.6,"{'colsample_bylevel': 0.6, 'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 150, 'subsample': 0.6}",0.8571428571428571,0.8571428571428571,0.8888888888888888,0.8870967741935484,0.8064516129032258,0.8870967741935484,0.8548387096774194,0.8387096774193549,0.6935483870967742,0.8709677419354839,0.8441884280593956,0.05567143254686971,6
7,0.08816390037536621,0.0017949369853553355,0.006888175010681152,0.000301794724929061,0.6,0.3,0.1,2,150,0.7,"{'colsample_bylevel': 0.6, 'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 150, 'subsample': 0.7}",0.8412698412698413,0.8571428571428571,0.9047619047619048,0.8548387096774194,0.8225806451612904,0.8870967741935484,0.8548387096774194,0.8225806451612904,0.7096774193548387,0.8709677419354839,0.8425755248335893,0.05062764633714199,20
8,0.08776521682739258,0.002139369938611009,0.006682848930358887,0.00045756449252836064,0.6,0.3,0.1,2,150,0.8,"{'colsample_bylevel': 0.6, 'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 150, 'subsample': 0.8}",0.8571428571428571,0.8571428571428571,0.8888888888888888,0.8870967741935484,0.8225806451612904,0.8870967741935484,0.8387096774193549,0.8387096774193549,0.7096774193548387,0.8709677419354839,0.8458013312852023,0.05032621210186481,2
9,0.08726677894592286,0.0012011023066342142,0.006782007217407226,0.0003990294997565214,0.6,0.3,0.1,2,150,0.9,"{'colsample_bylevel': 0.6, 'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 150, 'subsample': 0.9}",0.8571428571428571,0.8571428571428571,0.8888888888888888,0.8870967741935484,0.8225806451612904,0.8870967741935484,0.8225806451612904,0.8225806451612904,0.7096774193548387,0.8709677419354839,0.8425755248335893,0.05118694696073468,20
