,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.016553926467895507,0.0025374728974445876,0.007181859016418457,0.000958961614705119,0.2,0.4,0,0.15,2,10,0.6,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 10, 'subsample': 0.6}",0.7936507936507936,0.8253968253968254,0.7777777777777778,0.8225806451612904,0.6774193548387096,0.7741935483870968,0.7580645161290323,0.6774193548387096,0.7096774193548387,0.7580645161290323,0.7574244751664106,0.05094664952662859,1215
1,0.016426563262939453,0.0017169227189625339,0.007107257843017578,0.0011973248919309113,0.2,0.4,0,0.15,2,10,0.8,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 10, 'subsample': 0.8}",0.7936507936507936,0.8253968253968254,0.7619047619047619,0.8225806451612904,0.6935483870967742,0.7741935483870968,0.7903225806451613,0.6774193548387096,0.6774193548387096,0.7580645161290323,0.7574500768049155,0.053332606768827666,1214
2,0.016236543655395508,0.0016707072536628882,0.00675199031829834,0.001091014523184967,0.2,0.4,0,0.15,2,10,0.9,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 10, 'subsample': 0.9}",0.7936507936507936,0.8253968253968254,0.7619047619047619,0.8064516129032258,0.6935483870967742,0.7741935483870968,0.7741935483870968,0.6935483870967742,0.7096774193548387,0.7741935483870968,0.7606758832565285,0.0441976235196998,1209
3,0.02169322967529297,0.0017077968787206396,0.006729531288146973,0.0007812815759265469,0.2,0.4,0,0.15,2,20,0.6,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 20, 'subsample': 0.6}",0.8095238095238095,0.8253968253968254,0.8095238095238095,0.8064516129032258,0.7903225806451613,0.8225806451612904,0.8064516129032258,0.6935483870967742,0.7258064516129032,0.7741935483870968,0.7863799283154121,0.04142550804176913,1198
4,0.02270691394805908,0.001195048725801802,0.006760120391845703,0.001250094654478365,0.2,0.4,0,0.15,2,20,0.8,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 20, 'subsample': 0.8}",0.8095238095238095,0.8253968253968254,0.7619047619047619,0.8548387096774194,0.7903225806451613,0.8870967741935484,0.8064516129032258,0.7096774193548387,0.6774193548387096,0.7580645161290323,0.7880696364567332,0.0603612367081318,1193
5,0.020737624168395995,0.0009851292882208278,0.006143879890441894,0.0009810836697158613,0.2,0.4,0,0.15,2,20,0.9,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 20, 'subsample': 0.9}",0.8095238095238095,0.8412698412698413,0.7619047619047619,0.8225806451612904,0.7741935483870968,0.8870967741935484,0.7903225806451613,0.7096774193548387,0.6774193548387096,0.7741935483870968,0.7848182283666155,0.058005002457532685,1200
6,0.028760433197021484,0.002113288368624412,0.006926035881042481,0.0008037365029849833,0.2,0.4,0,0.15,2,30,0.6,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 30, 'subsample': 0.6}",0.8571428571428571,0.8412698412698413,0.8253968253968254,0.8709677419354839,0.7903225806451613,0.8709677419354839,0.8225806451612904,0.7096774193548387,0.6935483870967742,0.7903225806451613,0.8072196620583718,0.05945789698629985,1132
7,0.026493239402770995,0.0011824516764085476,0.006089162826538086,0.0007993647674318544,0.2,0.4,0,0.15,2,30,0.8,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 30, 'subsample': 0.8}",0.873015873015873,0.8095238095238095,0.8253968253968254,0.8387096774193549,0.7903225806451613,0.8548387096774194,0.8387096774193549,0.7258064516129032,0.6935483870967742,0.7903225806451613,0.8040194572452638,0.05378991984424082,1157
8,0.027360701560974122,0.0015138574831567457,0.0064089298248291016,0.001248014276067337,0.2,0.4,0,0.15,2,30,0.9,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 30, 'subsample': 0.9}",0.873015873015873,0.8571428571428571,0.8095238095238095,0.8709677419354839,0.8064516129032258,0.8709677419354839,0.8225806451612904,0.7258064516129032,0.7258064516129032,0.8225806451612904,0.818484383000512,0.05235857432140583,1016
9,0.04393942356109619,0.014531835314552346,0.006958174705505371,0.0012913653881006903,0.2,0.4,0,0.15,2,40,0.6,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 40, 'subsample': 0.6}",0.873015873015873,0.873015873015873,0.8253968253968254,0.8709677419354839,0.7903225806451613,0.8548387096774194,0.8225806451612904,0.7419354838709677,0.6935483870967742,0.7903225806451613,0.8135944700460829,0.0573618922548586,1081
