,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.03849461078643799,0.0030615616349335202,0.006680989265441894,0.00045604322217770315,0.3,0.3,0.3,3,50,0.3,"{'colsample_bylevel': 0.3, 'colsample_bytree': 0.3, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.3}",0.8412698412698413,0.8571428571428571,0.873015873015873,0.8548387096774194,0.7903225806451613,0.8064516129032258,0.7903225806451613,0.8225806451612904,0.6935483870967742,0.8548387096774194,0.8184331797235023,0.0499873286638988,41
1,0.03650233745574951,0.00066183937248743,0.006682753562927246,0.00045729338869463876,0.3,0.3,0.3,3,50,0.8,"{'colsample_bylevel': 0.3, 'colsample_bytree': 0.3, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.8571428571428571,0.8412698412698413,0.873015873015873,0.8548387096774194,0.8064516129032258,0.8709677419354839,0.7903225806451613,0.8225806451612904,0.6774193548387096,0.8548387096774194,0.8248847926267281,0.055524282079532666,23
2,0.06831731796264648,0.0034332959350422323,0.006682276725769043,0.000638706403996711,0.3,0.3,0.3,3,100,0.3,"{'colsample_bylevel': 0.3, 'colsample_bytree': 0.3, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.3}",0.8571428571428571,0.873015873015873,0.8888888888888888,0.8548387096774194,0.8225806451612904,0.8548387096774194,0.7903225806451613,0.8225806451612904,0.7419354838709677,0.8387096774193549,0.8344854070660522,0.040747201415624115,3
3,0.06901469230651855,0.006351531791323986,0.007181143760681153,0.0003990066587123749,0.3,0.3,0.3,3,100,0.8,"{'colsample_bylevel': 0.3, 'colsample_bytree': 0.3, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.9047619047619048,0.8571428571428571,0.873015873015873,0.8387096774193549,0.8064516129032258,0.8870967741935484,0.8064516129032258,0.8225806451612904,0.7096774193548387,0.8548387096774194,0.8360727086533538,0.05234706241661385,2
4,0.04667472839355469,0.00450086547783058,0.007481837272644043,0.0008070557750877731,0.3,0.3,0.3,5,50,0.3,"{'colsample_bylevel': 0.3, 'colsample_bytree': 0.3, 'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.3}",0.8412698412698413,0.8571428571428571,0.873015873015873,0.8548387096774194,0.7741935483870968,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.6935483870967742,0.8709677419354839,0.8184331797235023,0.05202739251796103,41
5,0.03959503173828125,0.003679802790932881,0.006782889366149902,0.0005974849246963823,0.3,0.3,0.3,5,50,0.8,"{'colsample_bylevel': 0.3, 'colsample_bytree': 0.3, 'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9047619047619048,0.8412698412698413,0.873015873015873,0.8709677419354839,0.8064516129032258,0.8709677419354839,0.8064516129032258,0.8225806451612904,0.6612903225806451,0.8387096774193549,0.8296466973886328,0.06373781783216287,13
6,0.07100980281829834,0.007092092213443293,0.0070810079574584964,0.0006973103017011224,0.3,0.3,0.3,5,100,0.3,"{'colsample_bylevel': 0.3, 'colsample_bytree': 0.3, 'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.3}",0.8253968253968254,0.8888888888888888,0.873015873015873,0.8387096774193549,0.8387096774193549,0.8548387096774194,0.7903225806451613,0.8387096774193549,0.7096774193548387,0.8387096774193549,0.8296979006656425,0.04723426678105822,12
7,0.06871988773345947,0.0036065439659266896,0.006878352165222168,0.0005430791472264466,0.3,0.3,0.3,5,100,0.8,"{'colsample_bylevel': 0.3, 'colsample_bytree': 0.3, 'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.8888888888888888,0.8571428571428571,0.8888888888888888,0.8709677419354839,0.7903225806451613,0.8709677419354839,0.8064516129032258,0.8387096774193549,0.6935483870967742,0.8064516129032258,0.8312339989759344,0.05691421018330295,9
8,0.038696694374084475,0.0014657753198234523,0.006781840324401855,0.0008696877191596414,0.3,0.3,0.7,3,50,0.3,"{'colsample_bylevel': 0.3, 'colsample_bytree': 0.3, 'learning_rate': 0.7, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.3}",0.8412698412698413,0.8571428571428571,0.8571428571428571,0.8225806451612904,0.7580645161290323,0.7903225806451613,0.7741935483870968,0.7903225806451613,0.7096774193548387,0.8548387096774194,0.8055555555555556,0.047130002016224644,56
9,0.039693665504455564,0.0011632481129971635,0.006582880020141601,0.0007978800142598506,0.3,0.3,0.7,3,50,0.8,"{'colsample_bylevel': 0.3, 'colsample_bytree': 0.3, 'learning_rate': 0.7, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.8888888888888888,0.8571428571428571,0.873015873015873,0.8387096774193549,0.8064516129032258,0.8709677419354839,0.8064516129032258,0.8709677419354839,0.7258064516129032,0.8225806451612904,0.8360983102918587,0.045973985074578096,1
