,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.017553114891052247,0.003159817318003601,0.006981611251831055,0.00044590535208759787,0.2,0.4,0,0.2,2,10,0.6,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 10, 'subsample': 0.6}",0.8095238095238095,0.8253968253968254,0.7777777777777778,0.8387096774193549,0.6612903225806451,0.7903225806451613,0.7741935483870968,0.6612903225806451,0.7096774193548387,0.7903225806451613,0.7638504864311316,0.06095267860511261,1214
1,0.01495978832244873,0.000445795687191413,0.007180953025817871,0.0003988625605366161,0.2,0.4,0,0.2,2,10,0.8,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 10, 'subsample': 0.8}",0.8095238095238095,0.8253968253968254,0.7777777777777778,0.8548387096774194,0.6935483870967742,0.7903225806451613,0.7741935483870968,0.6935483870967742,0.6935483870967742,0.7741935483870968,0.768689196108551,0.05463934894243822,1210
2,0.014760279655456543,0.0013230817111386528,0.0065830469131469725,0.0007976057301107829,0.2,0.4,0,0.2,2,10,0.9,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 10, 'subsample': 0.9}",0.7936507936507936,0.8253968253968254,0.7619047619047619,0.8387096774193549,0.7258064516129032,0.7903225806451613,0.7741935483870968,0.6774193548387096,0.6935483870967742,0.7741935483870968,0.7655145929339479,0.050030796378854776,1211
3,0.02044494152069092,0.0026098235274169984,0.005785202980041504,0.0008697313202055813,0.2,0.4,0,0.2,2,20,0.6,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 20, 'subsample': 0.6}",0.8412698412698413,0.8253968253968254,0.8571428571428571,0.8387096774193549,0.7741935483870968,0.8387096774193549,0.8064516129032258,0.7096774193548387,0.7096774193548387,0.8064516129032258,0.800768049155146,0.05066561025948083,1196
4,0.022240567207336425,0.0024040920773294836,0.0064829826354980465,0.000498676851753401,0.2,0.4,0,0.2,2,20,0.8,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 20, 'subsample': 0.8}",0.8412698412698413,0.8412698412698413,0.8095238095238095,0.8387096774193549,0.7741935483870968,0.9032258064516129,0.8064516129032258,0.7419354838709677,0.6935483870967742,0.8064516129032258,0.805657962109575,0.055483003633397684,1176
5,0.020943593978881837,0.001410554164526468,0.006383562088012695,0.0006618757940280502,0.2,0.4,0,0.2,2,20,0.9,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 20, 'subsample': 0.9}",0.8571428571428571,0.8412698412698413,0.8412698412698413,0.8548387096774194,0.7741935483870968,0.8709677419354839,0.8064516129032258,0.7258064516129032,0.6774193548387096,0.8387096774193549,0.8088069636456734,0.06056113991455884,1161
6,0.030518555641174318,0.003313725461049975,0.0074798822402954105,0.0012011729682529504,0.2,0.4,0,0.2,2,30,0.6,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 30, 'subsample': 0.6}",0.8888888888888888,0.8412698412698413,0.8888888888888888,0.8709677419354839,0.7903225806451613,0.8548387096774194,0.8387096774193549,0.7258064516129032,0.6935483870967742,0.8225806451612904,0.8215821812596007,0.06311107157121501,1024
7,0.03550488948822021,0.006340824762486289,0.008078169822692872,0.0013709128506155075,0.2,0.4,0,0.2,2,30,0.8,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 30, 'subsample': 0.8}",0.8571428571428571,0.8412698412698413,0.8571428571428571,0.8709677419354839,0.8064516129032258,0.8870967741935484,0.8225806451612904,0.7258064516129032,0.6774193548387096,0.8225806451612904,0.8168458781362007,0.06293674283211828,1105
8,0.03011929988861084,0.0013964858739807893,0.007280921936035157,0.0006386063177646755,0.2,0.4,0,0.2,2,30,0.9,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 30, 'subsample': 0.9}",0.873015873015873,0.8571428571428571,0.8888888888888888,0.8870967741935484,0.7903225806451613,0.8709677419354839,0.8225806451612904,0.7580645161290323,0.6935483870967742,0.8548387096774194,0.8296466973886328,0.06085409844043061,778
9,0.03610348701477051,0.0011630730464868737,0.0071810722351074215,0.0005977476466582518,0.2,0.4,0,0.2,2,40,0.6,"{'colsample_bylevel': 0.2, 'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 40, 'subsample': 0.6}",0.8888888888888888,0.873015873015873,0.8412698412698413,0.8387096774193549,0.7903225806451613,0.8387096774193549,0.8225806451612904,0.7580645161290323,0.6774193548387096,0.8709677419354839,0.8199948796722991,0.06029862017631448,1056
