,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.09414842128753662,0.0051548196369277455,0.009988999366760254,0.001834826785692737,0.1,0.1,2,0.1,"{'colsample_bylevel': 0.1, 'colsample_bytree': 0.1, 'max_depth': 2, 'subsample': 0.1}",0.8095238095238095,0.873015873015873,0.8095238095238095,0.8064516129032258,0.8387096774193549,0.7741935483870968,0.7741935483870968,0.7580645161290323,0.6774193548387096,0.8387096774193549,0.7959805427547363,0.05148418210355427,847
1,0.0946887493133545,0.0058205734020543125,0.010009098052978515,0.001320328621631264,0.1,0.1,2,0.3,"{'colsample_bylevel': 0.1, 'colsample_bytree': 0.1, 'max_depth': 2, 'subsample': 0.3}",0.8412698412698413,0.873015873015873,0.873015873015873,0.7903225806451613,0.8225806451612904,0.7580645161290323,0.8387096774193549,0.8387096774193549,0.6612903225806451,0.8387096774193549,0.8135688684075781,0.06051653336124856,717
2,0.10395002365112305,0.004507805513294142,0.010321307182312011,0.0008656867641036155,0.1,0.1,2,0.5,"{'colsample_bylevel': 0.1, 'colsample_bytree': 0.1, 'max_depth': 2, 'subsample': 0.5}",0.8412698412698413,0.873015873015873,0.873015873015873,0.8387096774193549,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.6451612903225806,0.8548387096774194,0.8216333845366105,0.06181107774586442,555
3,0.10170958042144776,0.010838730946282397,0.010510540008544922,0.0010099062055821592,0.1,0.1,2,0.7,"{'colsample_bylevel': 0.1, 'colsample_bytree': 0.1, 'max_depth': 2, 'subsample': 0.7}",0.8571428571428571,0.873015873015873,0.873015873015873,0.7903225806451613,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.8064516129032258,0.6612903225806451,0.8709677419354839,0.8199948796722991,0.0598930019144288,612
4,0.12422702312469483,0.060625373852545676,0.00974445343017578,0.0015710787452074648,0.1,0.1,2,0.9,"{'colsample_bylevel': 0.1, 'colsample_bytree': 0.1, 'max_depth': 2, 'subsample': 0.9}",0.8571428571428571,0.8571428571428571,0.873015873015873,0.8225806451612904,0.8225806451612904,0.8709677419354839,0.8225806451612904,0.7903225806451613,0.6935483870967742,0.8709677419354839,0.8280849974398361,0.051963790160863776,303
5,0.09900074005126953,0.005768426576380354,0.010694789886474609,0.0012743869272179888,0.1,0.1,2,1,"{'colsample_bylevel': 0.1, 'colsample_bytree': 0.1, 'max_depth': 2, 'subsample': 1}",0.8571428571428571,0.8571428571428571,0.8888888888888888,0.8548387096774194,0.8225806451612904,0.8709677419354839,0.8387096774193549,0.8064516129032258,0.6451612903225806,0.8548387096774194,0.8296722990271379,0.0653478049028904,243
6,0.11087980270385742,0.004319682098093035,0.009936833381652832,0.0014718555334699958,0.1,0.1,3,0.1,"{'colsample_bylevel': 0.1, 'colsample_bytree': 0.1, 'max_depth': 3, 'subsample': 0.1}",0.8253968253968254,0.873015873015873,0.8095238095238095,0.8548387096774194,0.8387096774193549,0.7741935483870968,0.7903225806451613,0.7580645161290323,0.6935483870967742,0.8387096774193549,0.80563236047107,0.050600497007347915,783
7,0.11265354156494141,0.002606759285360155,0.01059257984161377,0.0009989493228774644,0.1,0.1,3,0.3,"{'colsample_bylevel': 0.1, 'colsample_bytree': 0.1, 'max_depth': 3, 'subsample': 0.3}",0.8412698412698413,0.873015873015873,0.873015873015873,0.7903225806451613,0.8225806451612904,0.7580645161290323,0.8387096774193549,0.8387096774193549,0.6612903225806451,0.8387096774193549,0.8135688684075781,0.06051653336124856,717
8,0.11454281806945801,0.004403706022952666,0.010391521453857421,0.0014177086428961588,0.1,0.1,3,0.5,"{'colsample_bylevel': 0.1, 'colsample_bytree': 0.1, 'max_depth': 3, 'subsample': 0.5}",0.8571428571428571,0.873015873015873,0.8571428571428571,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.8387096774193549,0.6451612903225806,0.8387096774193549,0.8200204813108039,0.060716702519154626,603
9,0.11440770626068116,0.0036947740804318106,0.010141801834106446,0.0016570877385873233,0.1,0.1,3,0.7,"{'colsample_bylevel': 0.1, 'colsample_bytree': 0.1, 'max_depth': 3, 'subsample': 0.7}",0.8571428571428571,0.873015873015873,0.8888888888888888,0.8064516129032258,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.8064516129032258,0.6935483870967742,0.8709677419354839,0.8264208909370199,0.052439005648932134,411
10,0.11201534271240235,0.004939476055896081,0.010338878631591797,0.0013937699323505856,0.1,0.1,3,0.9,"{'colsample_bylevel': 0.1, 'colsample_bytree': 0.1, 'max_depth': 3, 'subsample': 0.9}",0.8571428571428571,0.873015873015873,0.873015873015873,0.8225806451612904,0.8225806451612904,0.8709677419354839,0.8225806451612904,0.8064516129032258,0.6612903225806451,0.8709677419354839,0.8280593958013313,0.06077757805063412,317
11,0.10525813102722167,0.006532205938712891,0.010173487663269042,0.0014398690889512694,0.1,0.1,3,1,"{'colsample_bylevel': 0.1, 'colsample_bytree': 0.1, 'max_depth': 3, 'subsample': 1}",0.8571428571428571,0.8412698412698413,0.873015873015873,0.8548387096774194,0.8225806451612904,0.8548387096774194,0.8548387096774194,0.8064516129032258,0.6612903225806451,0.8548387096774194,0.8281105990783411,0.05849682521196899,294
